"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","56","TestCases","test_get_request","TestRequest","","","获取广场热门动态",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","49","TestCases","test_get_request","TestRequest","","","获取地址列表",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","30","TestCases","test_get_request","TestRequest","","","入驻达人",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","197","TestCases","test_get_request","TestRequest","","","获取订单支付页面",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:48 CST 2024","60","TestCases","test_get_request","TestRequest","","","添加新地址",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","294","TestCases","test_get_request","TestRequest","","","登录账号密码",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","36","TestCases","test_get_request","TestRequest","","","举报达人",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","27","TestCases","test_get_request","TestRequest","","","获取明星达人",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","44","TestCases","test_get_request","TestRequest","","","获取优惠券列表",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","20","TestCases","test_get_request","TestRequest","","","获取新人礼包界面",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","46","TestCases","test_get_request","TestRequest","","","提交验证码",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","30","TestCases","test_get_request","TestRequest","","","拉黑达人",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","28","TestCases","test_get_request","TestRequest","","","关注达人",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","29","TestCases","test_get_request","TestRequest","","","删除地址",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","24","TestCases","test_get_request","TestRequest","","","退出登录",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","116","TestCases","test_get_request","TestRequest","","","编辑我的资料",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","43","TestCases","test_get_request","TestRequest","","","获取黑名单列表",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:47 CST 2024","251","TestCases","test_get_request","TestRequest","","","获取达人详情他的服务",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","20","TestCases","test_get_request","TestRequest","","","获取广场banner",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","61","TestCases","test_get_request","TestRequest","","","获取订单详情",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","19","TestCases","test_get_request","TestRequest","","","获取首页banner",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","20","TestCases","test_get_request","TestRequest","","","获取更多分类",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","32","TestCases","test_get_request","TestRequest","","","获取我的资料",""
"passed","Thu Jan 04 18:57:48 CST 2024","Thu Jan 04 18:57:48 CST 2024","33","TestCases","test_get_request","TestRequest","","","获取我的关注列表",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","30","TestCases","test_get_request","TestRequest","","","搜索接口",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","28","TestCases","test_get_request","TestRequest","","","取消关注",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","35","TestCases","test_get_request","TestRequest","","","预约下单服务",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","56","TestCases","test_get_request","TestRequest","","","获取会员中心",""
"passed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","253","TestCases","test_get_request","TestRequest","","","发布动态",""
"failed","Thu Jan 04 18:57:47 CST 2024","Thu Jan 04 18:57:47 CST 2024","51","TestCases","test_get_request","TestRequest","","","下单支付",""
"passed","Thu Jan 04 18:57:46 CST 2024","Thu Jan 04 18:57:46 CST 2024","43","TestCases","test_get_request","TestRequest","","","获取达人详情他的动态",""
